Vicinity,Tributary/Collection Location,Species,Count,Mean Read Count,Median Read Count,Location,Longitude,Latitude
Independence Valley,Warm Springs,isolatus,20,2739801.3,2115940.5,Warm Springs,-114.749007,40.954508
Newark Valley,Cold Creek Reservoir,newarkensis,24,808330.0416666666,794937,Cold Creek Reservoir,-115.7496,39.8446
Newark Valley,NF6,newarkensis,10,2786953.3,2536188,New. Valley NF6 2022,-115.756132,39.790157
Newark Valley,NN3_Mid,newarkensis,3,1487142,1435352,New. Valley NN3 Middle 2022,-115.756441,39.784024
Newark Valley,NN3_North,newarkensis,21,2102325.476190476,1948272,New. Valley NN3 North 2022,-115.756567,39.785494
Newark Valley,NN4,newarkensis,23,2966943.217391304,2917312,NN4,-115.691891,39.722661
Newark Valley,NV1,newarkensis,23,1996782.8260869565,1742531,New. Valley NV1 2022,-115.742096,39.817629
Newark Valley,NV12,newarkensis,25,4926659.8,5185390,NV12,-115.770039,39.649787
Newark Valley,NV16,newarkensis,19,2593594.947368421,2236290,New. Valley NV16 2022 ,-115.612743,39.81492
Newark Valley,NV17,newarkensis,25,3051772,2251352,New. Valley NV17 2022,-115.664894,39.782449
Newark Valley,NV18,newarkensis,24,3416055.416666667,2972096.5,New. Valley NV18 2022,-115.680971,39.758135
Newark Valley,NV19,newarkensis,25,2703885.48,2238912,New. Valley NV19 2022,-115.681941,39.753164
Newark Valley,NV2,newarkensis,20,5274821.1,4544087,New. Valley NV2 2022,-115.7393,39.83578
Newark Valley,NV5,newarkensis,25,2044280.96,1610207,New. Valley NV5 2022,-115.748941,39.804846
Newark Valley,NV6,newarkensis,22,1764912.6363636362,1522567,New. Valley NV6 2022,-115.751431,39.799575
Newark Valley,NV7,newarkensis,12,1601585.4166666667,1444953,New. Valley NV7 2022,-115.751748,39.789101
Newark Valley,NV9,newarkensis,20,2099726.1,1673472,New. Valley NV9 2022,-115.769445,39.735123
